"","idade","sexo","escolaridade","estadocivil","ocupacao","religiao","contatoanterior","lidadiretamente","motivocurso","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","part.outrocurso","sumTime","nsessions","aprovado","meanTime"
"3984","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",48600,5,"Sim",162
"3992","56","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",37620,6,"Sim",104.5
"3997","55","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",56400,4,"Não",235
"4003","cinquenta e quatro","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Sem religião","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Não",57000,3,"Não",316.666666666667
"4004","45","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Pouco adequado","Pouquíssimo flexível","Pouquíssimo importante","Desorganizado","Raramente","Sim",25380,5,"Não",84.6
"4005","60 anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",44700,2,"Não",372.5
"4006","45","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",24180,5,"Sim",80.6
"4007","47","Feminino","Ensino Médio Completo","Divorciado (a)","Professor (a)","Evangélica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",33960,7,"Sim",80.8571428571429
"4009","55 ano","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Pouco adequado","Flexível","Pouco importante","Desorganizado","Raramente","Sim",14880,8,"Sim",31
"4010","55","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Desorganizado","Às vezes","Sim",14880,8,"Sim",31
"4012","53","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Não",55320,7,"Não",131.714285714286
"4013","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",48300,4,"Não",201.25
"4014","57","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",37320,9,"Não",69.1111111111111
"4015","57","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",37320,9,"Não",69.1111111111111
"4017","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",47940,6,"Não",133.166666666667
"4018","57","Masculino","Pós-graduação","Viúvo (a)","Professor (a)","Espírita","Não","Sim","Outros","Adequado","Flexível","Importante","Organizado","Sempre","Sim",47940,6,"Não",133.166666666667
"4029","41","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Outros","Adequado","Flexível","Pouco importante","Organizado","Às vezes","Não",20880,5,"Não",69.6
"4036","53","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Muito organizado","Sempre","Sim",54060,2,"Sim",450.5
"4038","48 anos","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Evangélica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",31260,5,"Sim",104.2
"4039","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",24840,9,"Não",46
"4048","1954","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",24240,8,"Não",50.5
"4053","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",41160,5,"Não",137.2
"4061","51","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",47040,4,"Sim",196
"4075","49","Feminino","Pós-graduação","Viúvo (a)","Outros","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",51180,2,"Sim",426.5
"4076","48","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",56280,8,"Sim",117.25
"4077","48","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",56280,8,"Sim",117.25
"4085","49","Feminino","Pós-graduação","Viúvo (a)","Diretor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Pouco importante","Organizado","Às vezes","Sim",49920,4,"Sim",208
"4086","53","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",30540,8,"Não",63.625
"4087","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",30540,8,"Não",63.625
"4088","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",30540,8,"Não",63.625
"4089","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",30540,8,"Não",63.625
"4090","53","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",30540,8,"Não",63.625
"4091","53","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",30540,8,"Não",63.625
"4092","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",30540,8,"Não",63.625
"4093","53","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",30540,8,"Não",63.625
"4094","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",30540,8,"Não",63.625
"4095","53","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",30540,8,"Não",63.625
"4097","53","Masculino","Ensino Superior Completo","Divorciado (a)","Outros","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",41640,7,"Não",99.1428571428571
"4108","45","Feminino","Ensino Superior Completo","União Estável","Outros","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",16260,9,"Não",30.1111111111111
"4112","55","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",42480,4,"Sim",177
"4113","55","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",42480,4,"Sim",177
"4114","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",24180,6,"Não",67.1666666666667
"4127","35","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Muito organizado","Às vezes","Não",2940,1,"Não",49
"4128","31","Feminino","Pós-graduação","Divorciado (a)","Coordenador (a) Pedagógico","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Não",34140,4,"Não",142.25
"4129","31","Feminino","Pós-graduação","Divorciado (a)","Coordenador (a) Pedagógico","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Pouquíssimo flexível","Importante","Organizado","Raramente","Não",34140,4,"Não",142.25
"4134","49","Feminino","Pós-graduação","Casado (a)","Orientador (a)","Espírita","Não","Sim","Identificação profissional com o tema","Adequado","Pouquíssimo flexível","Pouco importante","Muito organizado","Raramente","Sim",53220,6,"Não",147.833333333333
"4136","53","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Muito importante","Organizado","Às vezes","Não",57180,3,"Sim",317.666666666667
"4145","47","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",30180,9,"Não",55.8888888888889
"4152","46","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Outros","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",10560,2,"Não",88
"4153","46","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Sim","Outros","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",10560,2,"Não",88
"4159","57","Feminino","Pós-graduação","-","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",60000,3,"Sim",333.333333333333
"4176","55","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Outras","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",32820,3,"Não",182.333333333333
"4177","55","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",32820,3,"Não",182.333333333333
"4192","54","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",52380,5,"Não",174.6
"4206","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",10140,6,"Não",28.1666666666667
"4213","31","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",63360,1,"Sim",1056
"4218","63","Masculino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",24420,8,"Não",50.875
"4224","49 anos","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Católica","Não","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",16020,4,"Não",66.75
"4227","46","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Evangélica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Pouco flexível","Importante","Muito organizado","Às vezes","Sim",27780,3,"Sim",154.333333333333
"4229","55","Masculino","Pós-graduação","Casado (a)","Diretor (a)","Evangélica","Não","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",29160,8,"Não",60.75
"4233","44","Feminino","Ensino Superior Completo","Casado (a)","Outros","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Sim",47400,6,"Não",131.666666666667
"4236","50","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",24540,10,"Sim",40.9
